"estacion","dia_wd","hora","viajes_retiro_prom","edad_p","prop_f","duracion_p","dist_prom","viajes_arribo_prom","region","region_0","region_1","region_10","region_11","region_12","region_2","region_3","region_4","region_5","region_6","region_7","region_8","region_9","dia_2","dia_3","dia_4","dia_5","dia_6","hora_6","hora_7","hora_8","hora_9","hora_10","hora_11","flujo_abs","maxcapacity","flujo_rel"
1,2,6,5.34,35.3595158730159,0.339722222222222,8.55846825396825,1.26662222222222,4.46808510638298,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.326923076923077,27,-0.0121082621082621
1,2,7,13.8039215686275,33.8657800708839,0.323786624519642,11.6643545010168,1.68759158112489,9.98076923076923,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.983974358974359,27,-0.0364434947768281
1,2,8,23.1730769230769,33.7189507846485,0.199727694675035,10.7392527167707,1.51157204324103,24.66,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.458333333333333,27,-0.0169753086419753
1,2,9,20,34.3123238175734,0.231223422792665,11.301819995686,1.4238644736174,22.9615384615385,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.09615384615385,27,0.0405982905982906
1,2,10,12.3269230769231,35.4383904935331,0.20815124211543,11.1143429312874,1.43046789770109,10.0192307692308,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.147435897435897,27,-0.00546058879392213
1,2,11,9.42307692307692,36.4768784524299,0.250551445475088,11.3659733727183,1.35139810147432,8.26923076923077,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.246794871794872,27,-0.00914055080721747
1,3,6,5.82692307692308,37.1768141580642,0.303833666333666,8.02876429126429,1.23740354090354,5.15686274509804,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.253205128205128,27,-0.00937796771130105
1,3,7,17.5961538461538,33.9408353702308,0.308292779258971,11.4144317102686,1.62384745226879,12.8846153846154,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-1.2724358974359,27,-0.0471272554605888
1,3,8,26.3461538461538,33.8031403277201,0.204548725276661,11.017711800297,1.49921834888432,30.0192307692308,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.221153846153846,27,-0.00819088319088319
1,3,9,23.3269230769231,33.7898122181851,0.279269347514395,11.1461865449406,1.40428751788477,24.6923076923077,"0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.15705128205128,27,0.0428537511870845
