id,bikes,slots,maxcapacity,bike_prop,slots_prop,categoria,canasta_categoria,1,2,3,4
56,25,11,36,0.694444444444,0.305555555556,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
57,7,5,12,0.583333333333,0.416666666667,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
58,5,22,27,0.185185185185,0.814814814815,1,"[0, 0.25)",1.0,0.0,0.0,0.0
59,29,7,36,0.805555555556,0.194444444444,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
60,25,11,36,0.694444444444,0.305555555556,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
61,0,36,36,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
62,12,6,18,0.666666666667,0.333333333333,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
63,18,17,35,0.514285714286,0.485714285714,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
64,31,4,35,0.885714285714,0.114285714286,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
65,11,6,17,0.647058823529,0.352941176471,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
66,10,17,27,0.37037037037,0.62962962963,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
67,14,8,22,0.636363636364,0.363636363636,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
68,13,17,30,0.433333333333,0.566666666667,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
69,6,14,20,0.3,0.7,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
70,18,18,36,0.5,0.5,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
71,10,25,35,0.285714285714,0.714285714286,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
72,19,8,27,0.703703703704,0.296296296296,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
73,19,17,36,0.527777777778,0.472222222222,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
74,14,12,26,0.538461538462,0.461538461538,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
75,14,1,15,0.933333333333,0.0666666666667,4,"[0.75, 1.1)",0.0,0.0,0.0,1.0
76,4,15,19,0.210526315789,0.789473684211,1,"[0, 0.25)",1.0,0.0,0.0,0.0
77,9,6,15,0.6,0.4,3,"[0.5, 0.75)",0.0,0.0,1.0,0.0
78,6,28,34,0.176470588235,0.823529411765,1,"[0, 0.25)",1.0,0.0,0.0,0.0
79,0,27,27,0.0,1.0,1,"[0, 0.25)",1.0,0.0,0.0,0.0
80,17,19,36,0.472222222222,0.527777777778,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
81,1,26,27,0.037037037037,0.962962962963,1,"[0, 0.25)",1.0,0.0,0.0,0.0
82,3,8,11,0.272727272727,0.727272727273,2,"[0.25, 0.5)",0.0,1.0,0.0,0.0
